127.0.0.1 - - [31/Jul/2024:13:49:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:56 +0900] "GET /fileupload/ HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /fileupload/main.do HTTP/1.1" 200 18715
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/vendor/aos/aos.css HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/css/main.css HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/css/common.css HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 887
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/img/hero-img.png HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/img/blog/blog-1.jpg HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/img/blog/blog-author.jpg HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/img/blog/blog-author-2.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/img/blog/blog-2.jpg HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/vendor/php-email-form/validate.js HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/vendor/aos/aos.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 404 880
0:0:0:0:0:0:0:1 - - [31/Jul/2024:13:49:57 +0900] "GET /resources/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 404 874
